Date,Close
2020-02-01,9346.36
2020-03-01,8599.76
2020-04-01,6437.32
2020-05-01,8672.78
2020-06-01,9463.61
2020-07-01,9145.99
2020-08-01,11322.57
2020-09-01,11679.32
2020-10-01,10795.25
2020-11-01,13781.00
2020-12-01,19633.77
2021-01-01,28994.01
2021-02-01,33114.58
2021-03-01,45159.50
2021-04-01,58926.56
2021-05-01,57714.66
2021-06-01,37293.79
2021-07-01,35035.98
2021-08-01,41460.84
2021-09-01,47099.77
2021-10-01,43816.74
2021-11-01,61320.45
2021-12-01,56907.96
2022-01-01,46311.75
2022-02-01,38481.77
2022-03-01,43194.50
2022-04-01,45554.16
2022-05-01,37713.27
2022-06-01,31792.55
2022-07-01,19820.47
2022-08-01,23336.72
2022-09-01,20050.50
2022-10-01,19431.11
2022-11-01,20494.90
2022-12-01,17168.00
2023-01-01,16547.91
2023-02-01,23137.84
2023-03-01,23150.93
2023-04-01,28473.33
2023-05-01,29227.10
2023-06-01,27218.41
2023-07-01,30471.85
2023-08-01,29230.87
2023-09-01,25934.02
2023-10-01,26967.40
2023-11-01,34657.27
2023-12-01,37718.01
2024-01-01,42280.23
2024-02-01,42569.76
2024-03-01,61168.06
2024-04-01,71333.48
2024-05-01,60609.50
2024-06-01,67489.61
2024-07-01,62673.61
2024-08-01,64625.84
2024-09-01,58969.80
2024-10-01,63335.61
2024-11-01,70216.90
2024-12-01,96461.34
2025-01-01,93425.10
2025-02-01,102402.80
2025-03-01,84373.87
2025-04-01,82551.92
2025-05-01,94212.86
2025-06-01,104637.30
2025-07-01,107144.38
2025-08-01,115738.95
2025-09-01,108228.75
2025-10-01,114057.59
2025-11-01,109558.63
2025-12-01,90389.11
2026-01-01,87508.05
2026-02-01,78626.13
2026-03-01,67005.88
2026-04-01,68232.89
2026-05-01,76305.05
2026-06-01,73580.21
2026-07-01,58562.45
